Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
Web Developer with Digital Marketing,https://jobs.bdjobs.com/jobdetails.asp?id=1355166&fcatId=8&ln=1,SME Sheba Platform,Barishal Sadar,Diploma in ComputerBachelor of Computer Application (BCA)Masters in Computer Application (MCA),At least 1 year(s),08-May-25,"Website Maintenance
Digital Marketing
Social Media Management
Video Editing
Graphics Designing
Content Management"
Sales Executive - Industrial & Corporate IT Solutions,https://jobs.bdjobs.com/jobdetails.asp?id=1354708&fcatId=8&ln=1,NGen IT,Dhaka,Bachelor of Science (BSc) in Computer Science & EngineeringBachelor in Engineering (BEngg) in...,2 to 6 year(s),07-May-25,"Sector-Specific Solution Selling
Oil & Gas:
Sell intrinsically safety Items      (e.g., 3M™ Scott™ Ska-Pak AT Supplied-Air Respirator, Honeywell Hazardous Area PCs)
Deploy predictive maintenance AI for refinery equipment 
Ruggedized industrial Mobile / Tab / PCs (eCom-Ex)
ATEX-certified devices for hazardous environments
High-availability servers & 5G devices
Financial & Academic Institutions:
Backup Recovery & Monitoring Solution
Cybersecurity frameworks for PCI DSS compliance 
CRM, Statistical & Analytical Solutions
Government & Power Sectors:
Lead bids for national projects through CPTU platforms
Design surveillance ecosystems for critical infrastructure
Promote IoT-enabled Device & substation automation solution
Look at upcoming projects or assist in creating ToR for the government projects
2.Complex Deal Structuring

Negotiate - multi-year managed service contracts (3-5 year horizons)
Design - revenue-sharing models for smart city PPP projects
Structure - outcome-based pricing for AI solutions "
Sales Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1354978&fcatId=8&ln=1,ORCWIZ,Dhaka,"Bachelor of Science (BSc) in Information TechnologyBachelor’s Degree in Business, Marketing, or a...",2 to 5 year(s),08-May-25,"B2B and B2C sales and marketing
B2B Sales
Compliance
Compliance Audit
Corporate Sales (B2B Business)
Cyber Security
Digital Marketing
Sales & Marketing
Sales Executive
Sales target
Customer Service"
IT Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1354938&fcatId=8&ln=1,Marriage Solution BD,Lalmatia,Bachelor of Business Administration (BBA)Master of Business Administration (MBA),3 to 5 year(s),08-May-25,"Data Collection
Data Management and Analysis
Digital Marketing (Social Media Marketing)
Good at Microsoft Word and Microsoft Excel
Graphics Design
SEO and Digital Marketing
Video Editing."
IT Project Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1354856&fcatId=8&ln=1,Shanta Life Insurance PLC,Tejgaon,Bachelor of Science (BSc) in Computer ScienceMaster of Business Administration (MBA) in Business...,5 to 10 year(s),30-Apr-25,Project Management
React Native Android / iOS App Developping  Intern,https://jobs.bdjobs.com/jobdetails.asp?id=1354513&fcatId=8&ln=1,Smart Software Limited,Dhaka,N/A,Na,22-Apr-25,"iOS Development
Mobile App Development
React | Node JS | Javascript
React Native
React Native | NodeJS | HTML | CSS | JavaScript | Github | Git"
Junior Business Development Executive,https://jobs.bdjobs.com/jobdetails.asp?id=1354347&fcatId=8&ln=1,NetCom Learning Global,GULSHAN 1,Bachelor of Science (BSc) in Computer Science & EngineeringBachelor of Science (BSc) in Computing &...,1 to 2 year(s),07-May-25,"Communication
Presentation
Sales & Marketing"
Laravel Developer (API Expert),https://jobs.bdjobs.com/jobdetails.asp?id=1354695&fcatId=8&ln=1,Al Wadyat Financing,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science,2 to 4 year(s),29-Apr-25,"API Implementation
Git Version Control System
Laravel Expert
MySQL
REST APIs"
Frontend Developer (Figma to HTML - Tailwind / Bootstrap + Vue/React),https://jobs.bdjobs.com/jobdetails.asp?id=1354589&fcatId=8&ln=1,Al Wadyat Financing,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science,2 to 4 year(s),29-Apr-25,"Bootstrap 5
Figma to HTML
Git Version Control System
HTML5 & CSS3
Tailwind CSS
Vue.js"
UI/UX Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1352380&fcatId=8&ln=1,Ngital Limited,Banani,N/A,1 to 2 year(s),30-Apr-25,"Adobe illustrator
Adobe Photoshop
Adobe XD
Figma
Sketch
Website Design"
Manager-MIS,https://jobs.bdjobs.com/jobdetails.asp?id=1354555&fcatId=8&ln=1,Quasem Industries PLc,Dhaka,Bachelor of Science (BSc)Master of Science (MSc)Bachelor of Science (BSc)Master of Science...,At least 10 year(s),30-Apr-25,"Collect and analyze data to identify patterns, trends, and insights that can be used to improve sales, business operations and decisions.
Compiling and presenting weekly reports that detail the results of our data collection efforts.
Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.
Keep senior personnel updated on lead supply stats and any developments affecting operations through regular communication.
Analyzing commercial data such as budgets, sales results, and forecasts
Modeling business processes and identifying opportunities for process improvements.
Prepare different types of sales report daily like primary/lifting, non-lifting, secondary, overdue, collection etc. and submit to related person & related department.
Generate SKU wise sales comparison report of each product in Monthly, quarterly, half yearly and yearly.
Finalize the National Target every month to discuss with the management.
Disburse the set target in Dealer and input in database.
Properly Work with Accounts & Store (Order, Invoice, Collection etc.)
Represent sales report in general & national sales meeting in power point, Graph, Chart etc.
Prepare Manpower wise various Sales report & evaluate them in monthly, quarterly, half yearly & yearly.
Develop and maintain dashboards and reports to monitor key performance indicators and track progress toward business goals.
To prepare different kind of MIS related reports as per business requirement.
To support process control, management and monitoring on areas like Sales, Marketing, Distribution, Production, Inventory
Must be good at Data normalization, Query Optimization, Process Optimization, and Memory Utilization.
To develop and implement standardized MIS procedures across all business applications.
To recommend and implement new technology solutions to improve productivity.
Experience with software such as SQL, Tableau or Power BI is needed. SAP or Oracle is a plus."
Business Intelligence Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1352955&fcatId=8&ln=1,ASA,Dhaka,Minimum Bachelor degree in computer science/Math/Statistics/Data Science or relevant discipline.,At least 3 year(s),19-Apr-25,"Age at most 35 years (as per NID card).

At least 3 years of experience in a BI/Data Engineering role after graduation.

High level of statistical mathematics aptitude and strong problem-solving skills.

Complex and optimized SQL query writing skill for a large dataset.

Experience in designing reports with BI Tools.

Clear understanding of fact, dimension variables and data modeling techniques.

Logical, analytical and investigative mind, together with creative abilities.

Excellent organizational, time and project management skills.

Ability to handle complex information with accuracy and attention to detail.

Have working experience using ETL tools.

Knowledge of python/R for data analysis(preferred.)

Experience working in cross-functional teams."
Graphic & UI/UX Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1354475&fcatId=8&ln=1,Big Sunshine (BD),Uttara Sector 6,N/A,1 to 5 year(s),07-May-25,"Age 25 to 35 years
Those who are proficient in Photoshop and Illustrator.
Proven graphic designing experience.
Especially skilled in logo design.
Must be need to make business card and self-shade.
Those who are creative and interested in learning something new.
A strong portfolio of illustrations or other graphics."
Senior Angular Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1354406&fcatId=8&ln=1,Dohatec New Media,Dhaka,Bachelor in Engineering (BEngg) in Computer Engineering,5 to 8 year(s),30-Apr-25,"As a Senior Angular Developer, you will play a pivotal role in developing and maintaining the front-end of our advanced Order Management System (OMS), designed for complex transactions in equities and derivatives (Call / Put Options etc.) markets.

Collaborating with backend developers and product teams, you will build robust user interfaces that empower financial professionals in managing trades and risks effectively.

Responsibilities:

Design, develop, and maintain the front end of our OMS application using Angular.

Collaborate with backend developers to ensure seamless integration with APIs.

Implement reusable, scalable, and efficient code with a focus on performance and security.

Develop user interfaces that provide exceptional usability for financial professionals.

Work in an agile environment and actively contribute to sprint planning and retrospectives.

Ensure the highest levels of system performance, availability, and reliability.

Qualifications:

Proven experience in Angular (5+ years preferred) and front-end development.

Strong proficiency with HTML, CSS, and JavaScript/TypeScript.

Experience with RESTful APIs and integrating front-end systems with backend services.

Solid understanding of front-end performance optimization techniques.

 Experience with version control systems such as Git.

Familiarity with agile development methodologies.

Experience in building enterprise-grade applications, preferably in the financial sector.

Strong problem-solving and debugging skills."
Assistant Network Engineer (POP In-charge),https://jobs.bdjobs.com/jobdetails.asp?id=1354341&fcatId=8&ln=1,Amber IT Ltd.,Anywhere in Bangladesh,Diploma in EngineeringBachelor of Science (BSc),Na,07-May-25,"Customer Relation
Hard Working
Self motivated
Team Leading
Willing to Travel"
Hardware and Network Engineer.,https://jobs.bdjobs.com/jobdetails.asp?id=1354330&fcatId=8&ln=1,Computer Source,Dhaka,N/A,1 to 2 year(s),07-May-25,"Business Development
CCTV Maintaining
Hardware & Networking"
Senior Engineer/ Junior Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1354211&fcatId=8&ln=1,Zara Zaman Technology Ltd.,"Brahmanbaria, Bogura, Chattogram, Cox's Bazar, Dhaka, Habiganj, Lakshmipur, Moulvibazar, Naogaon, Narayanganj, Natore, Noakhali, Rajshahi, Sylhet",Bachelor of Science (BSc) in Electrical & Electronic EngineeringBachelor of Science (BSc) in...,At least 1 year(s),25-Apr-25,"Age 20 to 28 years
Operation & Maintenance, Project Management, Service/ support.

Excellent written and verbal communication skill both in Bangla and English.

Must have literacy in computer operation (Especially in MS Office and Various Software).

Outgoing & proactive personality, strong teamwork spirit & good interpersonal communication skills.

Must be a key team player .

Electrical, Electronics, Computer & Mechanical troubleshooting skills.

Willing to work extra time as and when required.

Hard working, possess dedication towards the responsibilities.

Ability to work under pressure.

Must be dynamic, energetic, self-motivated and self-organized with a positive attitude."
Cpa Marketer - CRO,https://jobs.bdjobs.com/jobdetails.asp?id=1354147&fcatId=8&ln=1,Growth Master IT Tech Institute,Badarganj,SSCHSC,Na,05-May-25,"Jasper.ai, Writesonic, Copy.ai, Canva & Photoshop, ClickFunnels"
Business Development Executive (Marketing),https://jobs.bdjobs.com/jobdetails.asp?id=1354177&fcatId=8&ln=1,Smart Software Limited,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer ScienceBachelor of Commerce (BCom) in Bachelor of Commerce...,2 to 6 year(s),07-May-25,"Business Development
Graphics Design
Sales & Marketing
Sales Marketing
Sales target
Customer Service
Salesman
SEO and Digital Marketer"
WordPress Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1357466&fcatId=8&ln=1,Sparc Solutions,Mirpur,N/A,1 to 2 year(s),15-May-25,"Develop and customize WordPress plugins, including building new plugins and modifying existing backend code.

Create and maintain internal databases to support various projects.

Integrate custom and pre-made plugins to enhance website functionality.

Utilize our extensive library of templates to create visually appealing and functional websites.

Manage multiple projects simultaneously while adapting to changing requirements.

Collaborate with the team to deliver high-quality digital solutions."
IT & Payroll Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1357430&fcatId=8&ln=1,Fun Factory BD Limited,Ashulia,Diploma in Engineering,At least 5 year(s),11-May-25,"Corporate IT Support
HR and Payroll
HR payroll
IT Support Service"
UI / UX Design Internship (SEO) - Khulna,https://jobs.bdjobs.com/jobdetails.asp?id=1357665&fcatId=8&ln=1,Host The Website,"Khulna, Khulna Sadar",N/A,Na,26-Apr-25,"Familiarity with Figma.
UI Design"
Lead ERP Analyst,https://jobs.bdjobs.com/jobdetails.asp?id=1357660&fcatId=8&ln=1,Guardian Life Insurance Limited,Dhaka,"Bachelor’s degree in Information Technology, Computer Science, or a related field. Relevant...",At least 10 year(s),08-May-25,"Expertise in Oracle ERP architecture, configuration, and customization.
Strong technical proficiency in BI dashboard development and data visualization.
Advanced knowledge of SQL, PL/SQL, data modeling, and analytics.
Excellent problem-solving, analytical, and communication skills.
Ability to work both independently and in a team-oriented, collaborative environment."
IT Manager,https://jobs.bdjobs.com/jobdetails.asp?id=1357614&fcatId=8&ln=1,Molla Salt (Triple Refined) Industry Ltd,Anywhere in Bangladesh,Minimum B.Sc. in Computer Science & Engineering from any recognized universityMust have working...,At least 10 year(s),16-May-25,"Database Administrator (DBA)
Database Engineer/ Database Programmer
ERP and IT System Management
IT System Management
Network Engineer/ Network Administrator
Operation and Maintenance"
Software Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1357528&fcatId=8&ln=1,Storola,Dhanmondi,Bachelor in Engineering (BEngg) in Computer Science & EngineeringBachelor’s Degree in CSE...,At least 2 year(s),30-Apr-25,"Flutter
JavaScript
Opencart
PHP
PHP (OOP)
PHP Laravel
Vue.js"
Senior Software Engineer (PHP),https://jobs.bdjobs.com/jobdetails.asp?id=1357596&fcatId=8&ln=1,Babylon Resources Limited,Dhaka,Bachelor of Science (BSc) in Computer Science Engineering from a reputed university.,At least 3 year(s),16-May-25,PHP
Software Engineer (Java),https://jobs.bdjobs.com/jobdetails.asp?id=1357593&fcatId=8&ln=1,Babylon Resources Limited,Dhaka,Bachelor of Science (BSc) in Computer Science Engineering from reputed university.,At least 3 year(s),16-May-25,Java
Senior Software Engineer (Java),https://jobs.bdjobs.com/jobdetails.asp?id=1357592&fcatId=8&ln=1,Babylon Resources Limited,Dhaka,MSc or BSc in Computer Science Engineering from a reputed university.,At least 7 year(s),16-May-25,Java
Vue-React Frontend Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1357456&fcatId=8&ln=1,ICT Layer,Mirpur 10,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 year(s),25-Apr-25,"Laravel and Vue.js
Nuxtjs
React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git
ReactJS
VueJS"
"Senior Support Engineer, Oracle EBS (OPM)",https://jobs.bdjobs.com/jobdetails.asp?id=1357402&fcatId=8&ln=1,Kreatech,Anywhere in Bangladesh,N/A,2 to 6 year(s),25-Apr-25,"Oracle
Oracle APEX
Oracle Application Server
Oracle Database
ORACLE EBS"
IT Support Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1357319&fcatId=8&ln=1,Walton Hi-Tech Industries PLC.,Basundhara RA,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 year(s),30-Apr-25,"Analytical Skill
Problem Solving Skills"
PHP Laravel/CodeIgniter Developer (Intern),https://jobs.bdjobs.com/jobdetails.asp?id=1356961&fcatId=8&ln=1,W3Space Technologies,Rajshahi,N/A,Na,29-Apr-25,"CodeIgniter
Laravel
PHP
PHP Laravel"
Shopify & WordPress (CMS) Expert,https://jobs.bdjobs.com/jobdetails.asp?id=1357230&fcatId=8&ln=1,DYT (Design Your Themes),Banani,N/A,3 to 6 year(s),30-Apr-25,"Shopify
Web Design
Web Development
wix
WordPress"
"PHP (Laravel), Vue JS Developer (ERP Solution)",https://jobs.bdjobs.com/jobdetails.asp?id=1357144&fcatId=8&ln=1,MBM Group,Dhaka,B.Sc. in CSE from any reputed university.It doesn`t matter what your CGPA is as long as you are...,3 to 5 year(s),01-May-25,"Must have 3 to 5 years of experience in Laravel & Vue.js.

Must have in-depth knowledge of PHP Laravel programming language and related framework & development tools.

Must have solid experience in Developing and conceptualizing a comprehensive UI/UX design strategy.

jQuery, PHP (Laravel), MySQL, MongoDB.

PHP Full stack developer using back end (Laravel framework), front end (Vue.js, HTML5, CSS3, bootstap) technologies and connected with different external API.

Extensive knowledge of complex Structured Query Language (SQL) and a strong background in any RDBMS database like SQL Server, MySQL.

Clear Knowledge about Object-Oriented Programming and Design (OOAD), MVC pattern.

Work with different modern REST APIs.

Talk to different APIs, creating scalable scheduling and job queues that scale to multiple servers.

Develop different modular packages.

Should be able to analyze existing coding for re-engineering.

(No need to apply if you don't have experience working with Laravel & Vue.js)"
Network & System Security Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1357103&fcatId=8&ln=1,MBM Group,Dhaka,Bachelor degree in any discipline/ Diploma in Computer/ Diploma in Electronics/ Post Graduate...,At least 5 year(s),01-May-25,"Active Directory
Cisco Switch and Router
Firewall
Fortinet
IT Security
Juniper
Linux platforms
MS SQL Server
Windows Server"
Intern Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1356994&fcatId=8&ln=1,Itransition Software Bangladesh Ltd,Anywhere in Bangladesh,N/A,Na,29-Apr-25,".Net
C#
HTML5 & CSS3
JavaScript
PHP
Spoken English"
"Trainee, Products & Solution Design",https://jobs.bdjobs.com/jobdetails.asp?id=1357100&fcatId=8&ln=1,Data Edge Limited,Baridhara,Bachelor of Science (BSc) in Electrical & Electronic EngineeringBachelor of Science (BSc) in...,Na,30-Apr-25,"Solution design
Technical Documentation"
Programmer,https://jobs.bdjobs.com/jobdetails.asp?id=1357059&fcatId=8&ln=1,MinMax Rack Industry Ltd,Dhaka,Bachelor of Science (BSc),5 to 7 year(s),15-May-25,"C++programing
Coding
Software Development"
PHP & Laravel / CodeIgniter Web Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1357010&fcatId=8&ln=1,BD MERIT,Khilkhet,Bachelor of Science (BSc)Master of Science (MSc)B.Sc in CSE / IT or equivalent from any reputed...,2 to 3 year(s),14-May-25,"Bootstrap
CodeIgniter
HTML5 & CSS3
JavaScript
jQuery
Laravel Framework
MySQL database
PHP Laravel"
UX/UI Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1356995&fcatId=8&ln=1,LabFry Technology,Bohordarhut Chandgaon,Bachelor of Computer Application (BCA)Diploma in Computer,1 to 3 year(s),24-Apr-25,"Adobe XD Figma Sketch
Adobe XD Sketch
Figma
Graphics Design
UI UX Design
UX and UI Designing
Web Designer
Web Developer/ Web Designer"
Mobile Apps Developer (Flutter),https://jobs.bdjobs.com/jobdetails.asp?id=1356980&fcatId=8&ln=1,Soft Park IT,Dhanmondi,Bachelor of Science (BSc)Diploma in Computer,2 to 6 year(s),24-Apr-25,"B2B Sales
Flutter
Git and Github
Mobile apps developer
Object Oriented Programming
OOP
RESTful API"
Technology Specialist,https://jobs.bdjobs.com/jobdetails.asp?id=1356634&fcatId=8&ln=1,ELEVATE Solutions Limited,GULSHAN 1,Bachelor in Engineering (BEngg) in Computer Science & EngineeringBachelor of Science (BSc) in...,1 to 2 year(s),24-Apr-25,"Skill Required: Hyper-V Windows server Active Directory Microsoft Exchange Hybrid Microsoft 365 (Entra ID, Exchange Online, Teams, OneDrive, SharePoint, MIP, and Intune) System center (SCCM, SCDPM) Manage Engine (AD Audit Plus, Exchange reporter plus and Patch Manager)"
Senior Cyber Security Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1356837&fcatId=8&ln=1,FSN Solution Limited,Dhaka,Diploma in ComputerBachelor of Science (Pass)Master of Science (MSc)Masters in Information...,At least 8 year(s),13-May-25,"IT Support Service
IT System Management"
Digital Marketing Strategist,https://jobs.bdjobs.com/jobdetails.asp?id=1356729&fcatId=8&ln=1,Multinational Group of Company,Dhaka,Bachelor of Business Administration (BBA) in Marketing,At least 2 year(s),30-Apr-25,"Communication in English
Digital Marketing"
MANAGER - IT,https://jobs.bdjobs.com/jobdetails.asp?id=1356614&fcatId=8&ln=1,Grand River VIew Hotel,Rajshahi,Bachelor of Science (BSc) in Computer Science & EngineeringMaster of Science (MSc) in Computer...,At least 3 year(s),13-May-25,"Cloud Computing
Flexibility and Adaptability
Hotel
Network Security
Problem Solving"
"Assistant Manager/Sr. Executive (HRIS, Payroll & Inventory Software Expert)",https://jobs.bdjobs.com/jobdetails.asp?id=1356471&fcatId=8&ln=1,Fervent Multiboard Industries Ltd.,Dhaka,"Bachelor/Master’s degree in HRM, MIS, Business Administration, or relevant field.",3 to 6 year(s),12-May-25,"3 to 6 years of hands-on experience in HRIS Software, Payroll Process, and Inventory Software management.

Must have strong technical skills in HR & Inventory software (experience with ERP solutions preferred).

Proficient in Excel and report generation.

Strong communication and problem-solving abilities.

Experience in a manufacturing or group of companies will be an added advantage."
Designer,https://jobs.bdjobs.com/jobdetails.asp?id=1356613&fcatId=8&ln=1,A Reputed Company,PanthaPath,Bachelor of Fine Arts (B.F.A),1 to 5 year(s),13-May-25,"2D Animation
Adobe Premiere Pro
Adobe XD
Figma
HTML & CSS
InDesign
Photoshop and Illustrator
Sketch
verbal and written
Visualizer"
Software Engineer (Intern),https://jobs.bdjobs.com/jobdetails.asp?id=1355983&fcatId=8&ln=1,Xeon Technology Limited,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,Na,25-Apr-25,".Net Core
C#
HTML
JavaScript
React Native
ReactJS"
